Entry,Protein names
A0A4U5PC22,LSDAT_euk domain-containing protein
A0A2G5F509,Ion transport domain-containing protein
A0A250X939,EF-hand domain-containing protein
Q9W3W0,Inactive
A0A267GPW9,Cyclic nucleotide-binding domain-containing protein
A0A5J4YKT6,Potassium voltage-gated channel subfamily A member 3
A0A3M0KJ17,"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase"
A0A388KCZ0,Cyclic nucleotide-binding domain-containing protein
A7SAS8,BTB domain-containing protein
A0A0N4W4R0,KQT-like 1
A0A0C2HG31,Ion_trans domain-containing protein
A0A6P8IQK2,Voltage-dependent L-type calcium channel subunit alpha
T1HQC0,KQT-like 1
Q9UQ05,Potassium voltage-gated channel subfamily H member 4 (Brain-specific eag-like channel 2) (BEC2) (Ether-a-go-go-like potassium channel 1) (ELK channel 1) (ELK1) (Voltage-gated potassium channel subunit Kv12.3)
A0A0N0E8J6,Voltage-gated sodium channel
A0A2Z7DA59,Potassium channel
A0A6H5I7W2,FHA domain-containing protein
A0A2J7ZWE8,Potassium voltage-gated channel subfamily B member 2
T1EHR3,Voltage-dependent L-type calcium channel subunit alpha
A0A4S2LG90,BK channel (Maxi K channel)
A9URU8,Ion_trans domain-containing protein
Q9JMI9,Short transient receptor potential channel 3 (TrpC3) (Trp-related protein 3)
A0A6V7UGW5,Uncharacterized protein
A0A024FTG3,Phosphodiesterase (EC 3.1.4.-)
A0A267G3N3,BTB domain-containing protein
A0A087TU25,Sodium channel protein
I7LWX7,Cation channel family protein
A0A6H5ITB7,BTB domain-containing protein
A0A1N7SYU0,EF-hand domain-containing protein
A0A392NP49,CNGC5-like protein
A0A2G8LRQ5,Putative cation channel sperm-associated protein 4-like
A0A4W3HSI1,Ryanodine receptor 3
A0A1S4H4F7,ANK_REP_REGION domain-containing protein
A0A6J8CDK5,Ion transport domain-containing protein
A0A4W3J737,Voltage-dependent L-type calcium channel subunit alpha
A0A2R4XQ33,Ion transporter
A0A2A2J9A7,Ion transport domain-containing protein
A0A090L5T2,Potassium voltage-gated channel protein Shal
A0A4S2LAZ8,Uncharacterized protein
A0A1S3K516,voltage-dependent T-type calcium channel subunit alpha-1G isoform X2
A0A4Z2IY16,Potassium voltage-gated channel subfamily H member 5
A0A444UUN2,Cation channel sperm-associated protein 4
A0CL40,"Chromosome undetermined scaffold_20, whole genome shotgun sequence"
A0A1J1JAK4,Voltage-dependent L-type calcium channel subunit alpha
A0A226EL56,Transient receptor potential channel pyrexia
A0A1I7S254,BK channel (Maxi K channel)
A0A444UMI1,Potassium voltage-gated channel subfamily A member 1
A0A0L0G2L9,Ion transport domain-containing protein
A0A392MLB2,Cyclic nucleotide-gated ion channel 18-like
A0A267FI93,Ion transport domain-containing protein
A0A7J7KHS8,RyR
A0A0G4IZH4,Cyclic nucleotide-binding domain-containing protein
E0VMA4,Sodium channel protein
K1P0N8,"Inositol 1,4,5-trisphosphate receptor type 1"
A0A3P7L8K2,Ion transport domain-containing protein
A0A2P8Y8Z9,Ion transport domain-containing protein
A0A267E7M9,Ion_trans domain-containing protein
A0A4W3HAG2,Short transient receptor potential channel 1
A0A6P7THX6,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
R1CN02,EF-hand domain-containing protein
A0A210QTJ8,Potassium voltage-gated channel protein egl-36
A0A6P5ADW9,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
Q22YT3,Cation channel family protein
A0A4E0RYN5,Short transient receptor potential channel 6
A0A1S3DRN4,sodium leak channel non-selective protein-like
A0A0V0Y741,BK channel (Maxi K channel)
A0A518CN09,pH-gated potassium channel KcsA
A0A139WB17,Voltage-dependent L-type calcium channel subunit alpha
A0A5A8C4L8,EF-hand domain-containing protein
A0A6P8HD82,potassium voltage-gated channel subfamily H member 7-like isoform X6
A0A2T7P9Y6,Potassium voltage-gated channel subfamily H member 2 (Ether-a-go-go-related gene potassium channel 1) (Voltage-gated potassium channel subunit Kv11.1)
A0A662YKW3,Voltage-dependent P/Q-type calcium channel subunit alpha
A0A4S2L6L7,BTB domain-containing protein
A0A6P4Z9Z0,short transient receptor potential channel 4-like
A0A6J8D7Q0,TPTE
A0A267H259,Ion transport domain-containing protein
A0A4E0S1I5,Cyclic nucleotide and voltage-activated ion channel
A0A482SK96,Cyclic nucleotide-binding domain-containing protein
A0A2J6LUJ8,Cyclic nucleotide-binding domain-containing protein
A0A6L2PAU5,Ion transport domain-containing protein
T1F3E3,Ion transport domain-containing protein
A0A1Y2H779,Ion transport protein-domain-containing protein
A0A7J7KLV5,KCND2
A0A2C6KNT2,Cation channel family protein
A0A1L8EWR2,potassium voltage-gated channel subfamily H member 8
F1NFD4,Voltage-dependent R-type calcium channel subunit alpha
C5LX94,EF-hand domain-containing protein
A0A1T4VUP3,Voltage-gated potassium channel
A0A1Q9D7A8,Calmodulin
A0A3M7P8X5,Cyclic nucleotide-gated olfactory channel
K4KZZ0,"Potassium voltage-gated channel subfamily KQT possible potassium channel, VIC family"
A0A1Q9EQ34,Calmodulin
A0A2J8ABL2,Ion transport domain-containing protein
A0A397V9U5,Ion transport domain-containing protein
A0A0G2EPD2,Calcium channel YVC1 (Putative potassium ion channel yvc1)
B0C0X6,Ion transport protein
A0A0M0JP46,Voltage-gated ion channel superfamily
A0A3M0JG03,Voltage-dependent L-type calcium channel subunit alpha
F0YEB4,Cyclic nucleotide-binding domain-containing protein
A0A087T7Z1,Mucolipin-3
A0A3S1A522,Ion transport domain-containing protein
K1RIC0,Potassium voltage-gated channel subfamily B member 2
A0A3M7S1Y7,Potassium voltage-gated channel eag
A0A1Y1VPP0,Ion transport domain-containing protein
A0A7I8W4W1,DgyrCDS11117
A0A158P0A3,Ryanodine receptor
F2UHM5,Hyperpolarization-activated ion channel protein
A0A0J8BAR5,Cyclic nucleotide-binding domain-containing protein
A0A1Q9DF94,Calmodulin
A0A1D2NKN5,Cation channel sperm-associated protein 3
A0A6P8HAR7,transient receptor potential cation channel subfamily A member 1-like
A0BWK2,"Chromosome undetermined scaffold_132, whole genome shotgun sequence"
A0A6I9HN21,potassium voltage-gated channel subfamily KQT member 3
A0A3R7PY86,Peptidase_S9 domain-containing protein
A0A1D1V9X3,Cyclic nucleotide-binding domain-containing protein
A0A653CTX5,Cyclic nucleotide-binding domain-containing protein
A0A1Q9E8M9,Calmodulin
R9PY39,"Shaw-like, isoform D"
A0A1Q9D4E8,Sodium channel protein type 5 subunit alpha
A0A7J7J0H6,Cyclic nucleotide-binding domain-containing protein
A0A6P9ACH4,potassium voltage-gated channel protein Shaker isoform X3
A0A4Y2G333,Voltage-dependent calcium channel type A subunit alpha-1
A0A0V0XK37,Potassium voltage-gated channel protein Shab
A0A7M7P3C1,Cyclic nucleotide-binding domain-containing protein
E9G947,Ion transport domain-containing protein
A0A210QQX2,Cyclic nucleotide-gated olfactory channel
A0A6P8I872,transient receptor potential cation channel subfamily A member 1-like
A0A7J7J0H2,KCND3
A0A2G8JI63,Putative two pore calcium channel protein 1 isoform X2
A0A2T7NDZ9,Ion transport domain-containing protein
A0A0N4VUS5,Ion_trans domain-containing protein
A0A226ESW6,Ryanodine receptor 44F
A0A1X7VCH2,MIR domain-containing protein
A0A226ER47,Transient receptor potential channel pyrexia
A0A1Y2GFC4,Ion transport domain-containing protein
Q920E3,Potassium voltage-gated channel subfamily H member 5 (Ether-a-go-go potassium channel 2) (Eag2) (Voltage-gated potassium channel subunit Kv10.2)
A0A6L2PI04,Ion transport domain-containing protein
A0A087VZ28,non-specific serine/threonine protein kinase (EC 2.7.11.1) (BK channel) (Maxi K channel)
A0A2P4T6H3,BTB domain-containing protein
T1H7Z3,Ion transport domain-containing protein
A0A1Q9E8C4,Two pore calcium channel protein 1
A0A1Q9EBM2,Calmodulin
V8N3S5,Two pore calcium channel protein 1
A0CNZ7,"Chromosome undetermined scaffold_226, whole genome shotgun sequence"
L8JTG0,Potassium voltage-gated channel subfamily KQT
A0A0V0YDZ7,Ryanodine receptor 44F
A0A3P6SB52,Ion transport domain-containing protein
A0A4W3HSU6,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
T1FPB2,BTB domain-containing protein
A0A7J7BMS0,BTB domain-containing protein
G0QIV8,Ion transport domain-containing protein
A0A0C2FIT1,Ion transport domain-containing protein
T1H944,Ion transport domain-containing protein
A0EIH3,"Chromosome undetermined scaffold_99, whole genome shotgun sequence"
Q03721,Potassium voltage-gated channel subfamily C member 4 (KSHIIIC) (Voltage-gated potassium channel subunit Kv3.4)
A0A7M5XEB9,Ion transport domain-containing protein
A0DE73,"Chromosome undetermined scaffold_47, whole genome shotgun sequence"
A0DEB9,"Chromosome undetermined scaffold_48, whole genome shotgun sequence"
E1X1F4,Putative cation efflux transmembrane transport protein
A0A5J4NFW5,Two pore calcium channel protein 2
A0A7M7PP71,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
T1GH83,Ion transport domain-containing protein
A0A433TL90,Uncharacterized protein
A0A3Q0J1Y2,calcium-activated potassium channel slowpoke-like isoform X1
E0R7P5,"Potassium voltage-gated channel, Shaw-related subfamily, member 1a (Voltage-gated potassium channel Kv3.1a variant 1) (potassium voltage-gated channel subfamily C member 1 isoform X1)"
A0A6J8ACR1,KCNC1
A0A383W5Q4,Ion_trans domain-containing protein
A0A2G9V1B8,K+ channel tetramerization domain protein
Q231Q5,Cyclic nucleotide-binding domain protein
A0A267F8Q1,Ion transport domain-containing protein
Q7TN37,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4)
A0A0V0Y7Q4,Voltage-dependent calcium channel type A subunit alpha-1
A0A137PAE8,EF-hand domain-containing protein
A0A5A8CTI3,Cyclic nucleotide-binding domain-containing protein
A0A4W3I2C6,Transient receptor potential cation channel subfamily M member 3
C1E7E2,Voltage-gated ion channel superfamily
A0A4P9VVI1,Ion transporter
A0A5J4P404,Potassium voltage-gated channel Eag-related subfamily H member 5
A0A267F7B0,Ion transport domain-containing protein
A0A6P7S9N7,potassium voltage-gated channel protein Shaw isoform X3
K1Q186,Potassium voltage-gated channel protein Shaw
A0A4W3IRR6,Ryanodine receptor 2
K0S063,Ion transport domain-containing protein
D6X3I6,Voltage-dependent L-type calcium channel subunit alpha
A0A4Z2IXF4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A4W3IG83,Short transient receptor potential channel 2-like
A0A1Q9DHM5,Calmodulin
A0A328CYI6,Cyclic nucleotide-binding domain-containing protein
A0A3M0K741,BTB domain-containing protein
Q0ABW0,Ion transport protein
A0A4W3HVK3,Ryanodine receptor 3
A0A0L0T3H4,Cyclic nucleotide-binding domain-containing protein
A0A024UVF0,Uncharacterized protein
A0A4W3HRE9,Sodium channel protein
A0A6A4WT58,Potassium voltage-gated channel protein Shab
F4NRC3,Ion transport domain-containing protein
A0A0M0JSQ0,Voltage-gated ion channel superfamily
Q8I4B0,Potassium voltage-gated channel protein shk-1
A0A6P4Z2V3,Voltage-dependent L-type calcium channel subunit alpha
A0A433TDQ5,BTB domain-containing protein
A0A096P9K9,"Voltage-dependent channel, four helix bundle domain"
A0A482WV19,EF-hand domain-containing protein
A0A3Q0IW46,transient receptor potential channel pyrexia
A0A1S3J5U4,probable voltage-dependent N-type calcium channel subunit alpha-1B
A0A3P6QT74,Ion transport domain-containing protein
A0A6P8YXC1,BK channel (Maxi K channel)
A0A6P4YQF9,Voltage-dependent L-type calcium channel subunit alpha
A0A250X633,EF-hand domain-containing protein
A0A7M5X4G1,Ion transport domain-containing protein
K1QW93,"Inositol 1,4,5-trisphosphate receptor type 1"
A0A1L8GNV0,voltage-dependent T-type calcium channel subunit alpha-1I isoform X1
A0A4Z2IXS1,Potassium voltage-gated channel subfamily A member 2 (Voltage-gated potassium channel subunit Kv1.2)
A0A553NUH8,Ion transport domain-containing protein
A0A6A4VUM6,Voltage-dependent L-type calcium channel subunit alpha
A0A1L8G196,potassium voltage-gated channel subfamily G member 3 isoform X2
A0A0M3KDI9,Ion_trans domain-containing protein
A0A444UUT3,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A5N5T7C3,Potassium voltage-gated channel protein Shal
A0A0D2UGF9,"Inositol 1,4,5-triphosphate receptor"
A0A6A4WMG9,"Dynein heavy chain 2, axonemal"
A0A6P9A7E1,uncharacterized protein LOC117652550
A0A6J8DSV8,Potassium voltage-gated channel protein Shab
D7CST4,Ion transport protein
A7RI02,Cyclic nucleotide-binding domain-containing protein
A0A7I8W658,DgyrCDS11916
A0A1Q9D2K1,Sodium channel protein type 4 subunit alpha B
D8T0W5,Uncharacterized protein SmCNGC4_2
A0A7M5UXY0,Ion transport domain-containing protein
A0A0L0D222,Ion transporter
A0A6P7SBJ7,cyclic nucleotide-gated cation channel alpha-3-like
A0A2J6K7C5,Cyclic nucleotide-binding domain-containing protein
A0A1Q9EHB1,Cacna1c protein (Voltage-dependent L-type calcium channel subunit alpha-1C)
A0A6P4YHB9,Voltage-dependent L-type calcium channel subunit alpha
A0A6P4ZBM1,cyclic nucleotide-gated cation channel alpha-3-like isoform X3
A0A1Q9EDT5,Potassium voltage-gated channel protein eag
A0A1J1HZF7,Sodium channel protein
A0A267FKP3,Cyclic nucleotide-binding domain-containing protein
A0D5X1,"Chromosome undetermined scaffold_39, whole genome shotgun sequence"
A0A016RSL8,BTB domain-containing protein
A7SWW3,BTB domain-containing protein
A0A1X7TCH8,Ion transport domain-containing protein
A0A4Z2E9N2,Sodium channel protein type 5 subunit alpha
A0A7M5WQB6,BTB domain-containing protein
A0A267E7L8,Ion transport domain-containing protein
A0A507C3P0,peptidylprolyl isomerase (EC 5.2.1.8)
A0A7M7NM46,Ion transport domain-containing protein
K1PUU1,Short transient receptor potential channel 3
A0A7I8W792,BTB domain-containing protein
A0A7M7N3U5,Potassium voltage-gated channel subfamily H member 8
A0A1Y1IED7,T-type voltage-gated Ca2+ channel
A0A2R6QZH9,Potassium channel
E9GT78,Uncharacterized protein
F0XYE9,Cyclic nucleotide-binding domain-containing protein
A0A7M5UWJ8,Ion transport domain-containing protein
A0A444V4M1,Potassium voltage-gated channel subfamily D member 3
A0A1L8HD14,transient receptor potential cation channel subfamily V member 1
A0A4W3ITZ5,Potassium voltage-gated channel subfamily D member 3
A0A2R2MTA0,short transient receptor potential channel 6-like
A0A0B2V2R1,Transient receptor potential cation channel subfamily V member 6
A0A3P6R5R8,Ion transport domain-containing protein
L1IPB0,Ion transport domain-containing protein
A0A0L0DF73,Cyclic nucleotide-binding protein
A0A7J7JCQ3,KCNH5
A0A6P4ZI90,potassium voltage-gated channel subfamily A member 1-like
A0A024USW3,Cyclic nucleotide-binding domain-containing protein
A0A4C1WZ48,Potassium voltage-gated channel protein Shaw
A0A2P4S9L8,BTB domain-containing protein
Q8CFS6,Potassium voltage-gated channel subfamily V member 2 (Voltage-gated potassium channel subunit Kv8.2)
A0A6P7SC92,two pore calcium channel protein 1-like
A0A267F098,Ion transport domain-containing protein
Q9UJ96,Potassium voltage-gated channel subfamily G member 2 (Cardiac potassium channel subunit) (Voltage-gated potassium channel subunit Kv6.2)
A0A068YDH1,Hyperpolarization activated cyclic
A0A2P8XJW6,Ion transport domain-containing protein
E9G3A4,Uncharacterized protein
A0A4S2M6F2,Ion transport domain-containing protein
A0A4U0WKE5,Ion transport domain-containing protein
F2U270,WD-40 repeat protein
A0A078B9F6,Wd-40 repeat protein
A0A1S4E9G3,transient receptor potential cation channel subfamily V member 5
A0A1D2N8F8,Transient receptor potential channel pyrexia
A0A0G4GTX1,Ion transport domain-containing protein
A0A098QVQ1,Ion_trans domain-containing protein
A0A3P6S261,Ion transport domain-containing protein
A0A2K3MGM7,Potassium channel KAT1-like protein
A0A267G824,RIH_assoc domain-containing protein
A0A2A2M1F1,Uncharacterized protein
A0A0V0XGA3,Cyclic nucleotide-gated cation channel
B7GDG8,Ion transport domain-containing protein
A0A2K3D755,Ion transport domain-containing protein
A0A1Q9DW94,Calmodulin
A0A384KXR0,(thale cress) hypothetical protein (CNGC17)
A0A2G9S0X5,Ion transport domain-containing protein
E9GLT0,Ion transport domain-containing protein
